card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
003,Breloom,Base,0,1,0,0,1,d5d3ad962228510888d17810d1dcefbad4600acb,Breloom Base 003
004,Mow Rotom,Base,1,0,0,1,1,c7d7a064d19eaffe0573634541325e1b881b4d52,Mow Rotom Base 004
006,Lurantis,Base,1,0,0,1,1,bece702e2af686cc3d70ad98a174971e2cb6255a,Lurantis Base 006
009,Team Rocket's Spidops,Base,3,1,0,3,4,aca785e35251224cdf383ae5dfb504771a92c3f6,Team Rocket's Spidops Base 009
010,Smoliv,Base,1,0,0,1,1,861c316950f2dcecb1064f7662b0660a03467a25,Smoliv Base 010
012,Arboliva EX,Base,14,4,1,14,20,57ac035125d39fc1e408cc7a03c4132917db4731,Arboliva EX Base 012
013,Growlithe,Base,5,2,0,5,7,fc676f3f0a77fc0e9d269bf09f65b326f7dffee6,Growlithe Base 013
014,Arcanine,Base,2,0,0,2,2,a663bc8ba5d9184faef73ac753ef236268673085,Arcanine Base 014
015,Team Rocket's Moltres EX,Base,113,26,6,113,146,11c2287c2de2332e5dc41413ba267ab70bc86192,Team Rocket's Moltres EX Base 015
016,Team Rocket's Houndour,Base,3,0,0,3,3,0372ec8d6d0d714fa7c02176b8b6dc6c1b4c3a49,Team Rocket's Houndour Base 016
017,Team Rocket's Houndoom,Base,3,2,0,3,5,3bc79980d564a709b75c5b9fd56b6008c385e252,Team Rocket's Houndoom Base 017
018,Torchic,Base,2,0,0,2,2,ee6d3b2f37220545cc2d759d16d406d3a5e97bf9,Torchic Base 018
020,Blaziken,Base,33,4,0,33,37,7985a1f014a7079134510782c779086659a01e0f,Blaziken Base 020
022,Team Rocket's Articuno,Base,50,12,0,50,64,5d0636b8e082976e55921f474a0b0bc3e8e89c04,Team Rocket's Articuno Base 022
024,Huntail,Base,0,1,0,0,1,6cf39cedd5174521c013d216122dc7e3bfabea30,Huntail Base 024
025,Gorebyss,Base,0,1,0,0,1,889021b2951bc1f46da9f85b683a92d59c07eced,Gorebyss Base 025
026,Snover,Base,1,0,0,1,1,cae63a8280efceb82880b09ff2e8b76c09c63d43,Snover Base 026
032,Cetitan EX,Base,17,4,2,17,23,ef71b83349d15064b16561071f588179ed254af3,Cetitan EX Base 032
033,Team Rocket's Zapdos,Base,41,2,2,41,46,c72834264d4c81bd943e802d363e4a75cd044831,Team Rocket's Zapdos Base 033
034,Team Rocket's Mareep,Base,2,0,0,2,2,6d356ce78508e9497a26e6090d9617d44c5ec2e4,Team Rocket's Mareep Base 034
035,Team Rocket's Flaaffy,Base,2,0,0,2,2,e57c1898723dd46c221da594f6ef7ff0d29aa879,Team Rocket's Flaaffy Base 035
036,Team Rocket's Ampharos,Base,7,1,0,7,8,cba72de82681411846e1f17fea3e9e757451ef69,Team Rocket's Ampharos Base 036
038,Team Rocket's Hypno,Base,2,0,0,2,2,e6bbfd6c30495391368c1ba48717702c96ff7569,Team Rocket's Hypno Base 038
039,Team Rocket's Mewtwo EX,Base,836,137,47,836,1032,9db27cf8878df23828c222ff9ac46cc87e8b6308,Team Rocket's Mewtwo EX Base 039
040,Team Rocket's Wobbuffet,Base,19,5,0,19,25,f907b30f5d3a722fe663da628506407a46c6d6ef,Team Rocket's Wobbuffet Base 040
042,Team Rocket's Mimikyu,Base,25,2,1,25,28,664fc73636ce192565a4ab326217df36784162d3,Team Rocket's Mimikyu Base 042
047,Annihilape,Base,3,1,0,3,5,4db03787195feb3bcdbcaa511ff06fadcc270b9f,Annihilape Base 047
048,Team Rocket's Larvitar,Base,1,0,0,1,1,4930c2e3b98fd0996e6dbfa6227a337d6634f076,Team Rocket's Larvitar Base 048
050,Team Rocket's Tyranitar,Base,38,2,0,38,41,e8b150e303f776dfa6a65daf98d2477544425708,Team Rocket's Tyranitar Base 050
051,Nosepass,Base,1,1,0,1,2,3e1a972da01d130c05a5f066d200d9c9b2313662,Nosepass Base 051
052,Probopass,Base,3,0,0,3,3,3b170e5f0625ec2243feb1f8a5d714b7cd917d0a,Probopass Base 052
