card_number,name,parallel,g10,g9,g8,card_gems,card_total_grades,gemrate_id,details
001,Ethan's Pinsir,Reverse Holo,1,3,0,1,4,e06f71eab7c58f4a912b09882cdfe43770e3c913,Ethan's Pinsir Reverse Holo 001
002,Yanma,Reverse Holo,1,3,0,1,4,84a08d3ff91c05ef9438765b51657df79e44f071,Yanma Reverse Holo 002
002,Yanma,Base,0,1,0,0,1,74733ce2f58960aa79c3adc6cec514ae00704a4c,Yanma Base 002
003,Yanmega EX,Base,67,79,17,67,166,9f7eac9b10ccc16d31c2ec4f2578f0d4b7c8f4db,Yanmega EX Base 003
004,Pineco,Base,0,1,0,0,1,eb0fe06e2ae37d907bf4c4341ee18debcc4428d5,Pineco Base 004
004,Pineco,Reverse Holo,0,1,0,0,1,a32046185ce31bfc64efeb92d10ac0b65507b081,Pineco Reverse Holo 004
005,Shroomish,Reverse Holo,0,1,0,0,1,8fd5105812eec213bc59c71eee450f59d9611dd7,Shroomish Reverse Holo 005
007,Cynthia's Roselia,Base,0,2,2,0,5,25b72e87db1b052fb5fa335409320dc7d3047ed5,Cynthia's Roselia Base 007
007,Cynthia's Roselia,Reverse Holo,0,0,1,0,2,3887f334ba768ec3710cc67f7ab5cf62af19f964,Cynthia's Roselia Reverse Holo 007
008,Cynthia's Roserade,Base,2,7,7,2,18,755ac1d7c9e7b2cef1b5e5351366af57ebb4a118,Cynthia's Roserade Base 008
008,Cynthia's Roserade,Reverse Holo,1,1,1,1,3,ede6162b71090a1284cc41651aa7d2eaebddb597,Cynthia's Roserade Reverse Holo 008
009,Mow Rotom,Reverse Holo,1,1,1,1,3,38495e80c90486ff2263ff22aeacae3f0ec6bd6e,Mow Rotom Reverse Holo 009
009,Mow Rotom,Base,1,0,0,1,1,0ab3b983fa6b0e141d43f40b1e376487e9141e21,Mow Rotom Base 009
010,Shaymin,Base,0,3,2,0,6,c3218125fe4655d1fca915a41c9ca5adc31f4bab,Shaymin Base 010
